comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
primary_clean_vs_raw_bge,step9_e5_lr_l2_50pct_seed_mean,raw_bge_m3_cosine,roc_auc,0.819048,0.783754,0.035294,0.033549,-0.147088,0.215767,0.732800,5000,no
primary_clean_vs_raw_bge,step9_e5_lr_l2_50pct_seed_mean,raw_bge_m3_cosine,average_precision,0.540494,0.492048,0.048445,0.049422,-0.289520,0.309334,0.710000,5000,no
primary_clean_vs_step7_bge_fusion,step9_e5_lr_l2_50pct_seed_mean,step7_core_zero_shot_bge_m3,roc_auc,0.819048,0.601681,0.217367,0.205804,-0.005893,0.382821,0.053200,5000,no
primary_clean_vs_step7_bge_fusion,step9_e5_lr_l2_50pct_seed_mean,step7_core_zero_shot_bge_m3,average_precision,0.540494,0.448761,0.091733,0.174052,-0.094190,0.391933,0.168400,5000,no
primary_clean_vs_step7_default_fusion,step9_e5_lr_l2_50pct_seed_mean,step7_core_zero_shot_default,roc_auc,0.819048,0.588235,0.230812,0.216473,-0.011315,0.400449,0.060000,5000,no
primary_clean_vs_step7_default_fusion,step9_e5_lr_l2_50pct_seed_mean,step7_core_zero_shot_default,average_precision,0.540494,0.448547,0.091946,0.180803,-0.093644,0.406710,0.163600,5000,no
mixup_clean_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,raw_e5_cosine,roc_auc,0.826891,0.806723,0.020168,0.026930,-0.070479,0.130891,0.583200,5000,no
mixup_clean_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,raw_e5_cosine,average_precision,0.549271,0.520573,0.028698,0.040458,-0.210950,0.318187,0.740000,5000,no
mixup_clean_vs_non_mixup_e5_lr_l2,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_e5_lr_l2_50pct_seed_mean,roc_auc,0.826891,0.819048,0.007843,0.005737,-0.025809,0.047619,0.858800,5000,no
mixup_clean_vs_non_mixup_e5_lr_l2,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_e5_lr_l2_50pct_seed_mean,average_precision,0.549271,0.540494,0.008777,0.007486,-0.031724,0.050674,0.752000,5000,no
mixup_clean_vs_step7_default_fusion,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step7_core_zero_shot_default,roc_auc,0.826891,0.588235,0.238655,0.222211,-0.024474,0.430877,0.077200,5000,no
mixup_clean_vs_step7_default_fusion,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step7_core_zero_shot_default,average_precision,0.549271,0.448547,0.100724,0.188290,-0.102699,0.423797,0.172000,5000,no
mixup_100pct_clean_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,roc_auc,0.842017,0.806723,0.035294,0.041078,-0.086161,0.158168,0.481200,5000,no
mixup_100pct_clean_vs_raw_e5,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,raw_e5_cosine,average_precision,0.588995,0.520573,0.068422,0.072411,-0.207105,0.331671,0.530800,5000,no
mixup_100pct_clean_vs_non_mixup_e5_lr_l2_50pct,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_e5_lr_l2_50pct_seed_mean,roc_auc,0.842017,0.819048,0.022969,0.019886,-0.015896,0.057428,0.248800,5000,no
mixup_100pct_clean_vs_non_mixup_e5_lr_l2_50pct,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_e5_lr_l2_50pct_seed_mean,average_precision,0.588995,0.540494,0.048501,0.039439,-0.025067,0.121423,0.277600,5000,no
mixup_100pct_clean_vs_mixup_50pct,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,roc_auc,0.842017,0.826891,0.015126,0.014148,-0.038462,0.064229,0.541200,5000,no
mixup_100pct_clean_vs_mixup_50pct,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,average_precision,0.588995,0.549271,0.039724,0.031953,-0.035265,0.106584,0.395200,5000,no
mixup_100pct_clean_vs_step7_default_fusion,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step7_core_zero_shot_default,roc_auc,0.842017,0.588235,0.253782,0.236359,0.018175,0.410672,0.033200,5000,yes
mixup_100pct_clean_vs_step7_default_fusion,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step7_core_zero_shot_default,average_precision,0.588995,0.448547,0.140448,0.220242,-0.080072,0.447818,0.133600,5000,no
bge_residual_vs_raw_bge,step9_bge_m3_residual_lr_100pct_seed_mean,raw_bge_m3_cosine,roc_auc,0.817367,0.783754,0.033613,0.032956,-0.140493,0.176280,0.649600,5000,no
bge_residual_vs_raw_bge,step9_bge_m3_residual_lr_100pct_seed_mean,raw_bge_m3_cosine,average_precision,0.515857,0.492048,0.023809,0.021741,-0.292830,0.248245,0.776800,5000,no
labse_lr_vs_raw_labse,step9_labse_lr_l2_100pct_seed_mean,raw_labse_cosine,roc_auc,0.799440,0.806162,-0.006723,-0.002076,-0.092913,0.073583,0.992000,5000,no
labse_lr_vs_raw_labse,step9_labse_lr_l2_100pct_seed_mean,raw_labse_cosine,average_precision,0.531286,0.518581,0.012705,0.027924,-0.117736,0.215855,0.756400,5000,no
operational_identifier_vs_raw_e5,step9_identifier_augmented_lr_l2_100pct_seed_mean,raw_e5_cosine,roc_auc,0.783754,0.806723,-0.022969,-0.013669,-0.252128,0.212790,0.928400,5000,no
operational_identifier_vs_raw_e5,step9_identifier_augmented_lr_l2_100pct_seed_mean,raw_e5_cosine,average_precision,0.647686,0.520573,0.127113,0.127983,-0.278566,0.523619,0.489600,5000,no
